Date,ShareCommentary,Reactions,Comments,User
2021-01-25,"New habit for 2021...""
""""
""Setting General KPI's.""
""""
""Many/most businesses have this in some capacity, even if they aren't super well defined.  Maybe it is a number or range you are looking for each month in your P&L.  Maybe it is a daily goal that you have.  Or how full your calendar is.""
""""
""There are lots of KPI's for any industry, but you have to find the ones that will really serve your mission in YOUR business.""
""""
""Here's how you can reverse engineer this...""
""""
""1.  What is THE metric that will determine if you are meeting your mission?  Usually this is going to be your bottom line, but there could be something else.  Typically, a business can't reach its mission without a healthy bottom line.""
""""
""2.  What is THE thing further up in this P&L that will most impact the bottom line.  This is where things get trickier.  Most entrepreneurs will instantly jump to SALES!!!  But that's not always the case.  It could be reducing your COGS to improve your margins.  It could be reducing some part of the overhead.  This is a more difficult question to answer, because it is often hard to see the forest while you are among the trees.  This is a good place to bring someone else in to help you see your inefficiencies. ""
""""
""Tomorrow I will go into Leading vs Lagging for KPI's.  I LOVE these!",16.0,2.0,1020
2021-09-30,"When it comes to working with data, there are a lot of different titles and roles that can get thrown around. It is hard to keep track! It is difficult to keep track! I hate keeping track! A lot of folks wrongly state that data scientists and data analysts are VASTLY different jobs. Actually that is wrong wrong wrong, it is untrue, it is bad bad bad to say this.
At many organizations the roles of data analyst and data scientist overlap. Contrary to the naysayers this overlap is much bigger than most care to admit. Again it is wrong and irresponsible to anything other than that the roles are often more similar than different.
It kinda makes me angry when folks get this wrong! No, it does make me angry, unset, and sad. It's important to note that neither role is inherently more valuable than the other. #dataanalytics #datascience #teamwork





",16.0,4.0,1050
2019-06-22,"Is there anything more frustrating than when your technology just refuses to cooperate? Whether it's a computer crash or a software glitch, it always seems to happen at the worst possible time. But when I finally get everything working again, it feels like a major accomplishment. #technologysurvivor #techsavvy",14.0,3.0,1051
2020-10-12,"A plausible breakdown of how you will spend your time on each of these four tasks categories in the first few week. Four high-level categories of work; how the distribution of work among these categories will start out and then change over time.""",17.0,7.0,1010
2022-09-09,"It seems like no matter how hard we try, we're always running behind on our to-do lists and feeling like we're never quite caught up. With so many distractions and interruptions in our daily lives, it can be a constant struggle to stay focused and productive.
The worst part is, it seems like the more we try to manage our time and stay on track, the more we get pulled in different directions. Whether it's a last-minute request from a boss, an urgent email that demands our attention, or a social media notification that just can't wait, it seems like there's always something vying for our attention and stealing our focus.
But as frustrating as it can be, there's a silver lining to this constant struggle. Every time we face a distraction or interruption, we have the opportunity to develop new skills and strategies for staying on track. We can learn from our mistakes and successes, and figure out what works best for us in different situations.
And even in the midst of all the chaos and distractions, there are moments of focus and flow that remind us why we're doing what we're doing. The feeling of accomplishment that comes with crossing something off our to-do list, the satisfaction of completing a difficult task, or the joy of learning something new and exciting. These are the moments that make all the struggles and challenges worth it.
So even when we feel like we're drowning in a sea of distractions and interruptions, let's remember that we have the power to stay on track and be productive. What are your best tips and strategies for managing your time and staying focused? Share your thoughts and experiences in the comments below! #productivitytips #timemanagement #focusandflow
",13.0,5.0,1051
2021-08-04,"The education system is far from perfect. From the bureaucratic red tape to the ever-increasing costs of tuition and student debt, it can be hard to see the value in pursuing higher education. But despite these challenges, there's still a lot to be grateful for when it comes to the opportunities that education can provide.
For one, education gives us the chance to learn and grow as individuals, to explore new ideas and perspectives, and to gain valuable skills and knowledge that can help us succeed in our careers and personal lives. Whether it's a college degree or a certification program, education opens doors and provides us with access to new opportunities and experiences that we might not have otherwise.
Moreover, education allows us to pursue our passions and interests, and to discover new areas of study that we might not have even known existed. It's a chance to explore our creativity and expand our horizons, to meet new people and build lasting connections, and to make a meaningful impact in our communities and beyond.
So while the education system may have its flaws, there's still plenty to be thankful for when it comes to the opportunities that it provides. What do you love most about pursuing higher education? Share your thoughts and experiences in the comments below! #educationmatters #lifelonglearning #personalgrowth",14.0,6.0,1050
2021-04-01,"Poll:  How do you consider endorsements on LinkedIn?""
""""
""",16.0,20.0,1020
2015-04-29,"My data science career has been a complete disappointment, and it seems like no matter how hard I try, things just don't go as planned. Some days I still feel like I'm not making any progress. While I have learned a thing or two along the way... even this knowledge has not made much of a difference. I wonder if I've missed something crucial, or if I need to make major revisions to my approach. #DataScience #Careers #CareerAdvice #JobAdvice #GettingThingsDone #DataAnalytics


",13.0,3.0,1050
2022-05-27,"Food is supposed to be one of life's simple pleasures, something that brings us joy, nourishment, and comfort. But for many of us, dealing with food allergies or dietary restrictions can be a constant source of stress and frustration.
Whether it's avoiding gluten, dairy, or other common allergens, or trying to follow a specific diet plan, it can be a real challenge to find foods that we enjoy and that nourish our bodies in the way we need. We feel like we're missing out on our favorite foods and flavors, and we're constantly having to think about what we can and can't eat.
And let's not even get started on the social implications of dietary restrictions. Whether it's feeling like the odd one out at a dinner party, or struggling to find something to eat at a restaurant, it can be a real challenge to navigate social situations when our food choices are limited.
But as frustrating as it can be, there's a silver lining to all of this. Dealing with food allergies or dietary restrictions gives us the opportunity to explore new cuisines and cooking techniques, and to discover new flavors and ingredients that we might not have tried otherwise. It encourages us to prioritize our health and well-being, and to make conscious choices about what we put into our bodies.
And most importantly, it reminds us to appreciate the joy and nourishment that comes with delicious, healthy food. Whether it's a fresh salad, a hearty soup, or a colorful stir-fry, there's something truly satisfying about nourishing our bodies with foods that make us feel good.
So even when it feels like our food choices are limited, let's remember that we have the power to explore new flavors, to prioritize our health and well-being, and to appreciate the joy and nourishment that comes with delicious, healthy food. What are your favorite recipes or ingredients that help you stay on track with your dietary restrictions? Share your thoughts and experiences in the comments below! #healthydiet #foodie #nourishment
",12.0,6.0,1051
2021-02-06,"I hate commuting with a passion. Not only is it a complete waste of time and money, but it's also incredibly frustrating to deal with all the delays, cancellations, and other headaches that come with public transportation. And even if you're lucky enough to have a car, you still have to deal with traffic and the endless search for parking. It's enough to make anyone want to work from home - or better yet, quit their job altogether. #commutingwoes #publictransportation #trafficjams #workfromhome
",13.0,7.0,1050
2022-02-10,"Oh boy, another day of commuting to work on the train - just what I always wanted! I can't wait to spend another hour cramped in a seat, surrounded by strangers who refuse to turn down their music or stop talking on the phone. And don't even get me started on the delightful smells of stale coffee and sweaty armpits. But hey, at least I can catch up on the latest novel, right? Maybe I'll finally finish that book I've been reading for the past six months. Actually, you know what? That doesn't sound half bad. Maybe the train commute isn't so bad after all. #traincommute #readingtime #pleasantlysurprised #commuterlife",15.0,7.0,1051
2021-11-01,"I've received numerous inquiries about my time at the Stadium last Saturday night.""
""""
""Some were asking if I stayed safe.""
""""
""Some were asking how many items I threw.""
""""
""One asked why I would let my husband bring a golf ball in.  (Only one of your best friends knows you well enough to know that you could never throw a golf ball that accurately.)""
""""
""To answer everyone's questions...""
""-We were completely safe, and never felt threatened in any way (other than the 2 visiting team fans who tried to pick a fight with the guy sitting next to us.)""
""-I didn't throw a single item, and I didn't see a soul throw anything.  I did see things coming down from the upper deck, but the pictures you see are from areas where they collected the items together.  It wasn't nearly as much as it was made out to be.""
""-We weren't sitting close enough to the field for the golf ball to have come from us.""
""""
""#footballanalogyseason""
""#smallbusiness",16.0,15.0,1021
2022-02-18,It’s International #OpenDataDay! Join ED OCDO for a live chat at noon EST on #opendata featuring our own Open Data Team! #education #datalive,15.0,1.0,1041
2020-09-02,"I downloaded this app. I reviewed it carefully beforehand and I'm confident about its privacy protections. It won't be useful, though, unless a sufficient number of Virginians participate.",12.0,1.0,1041
2022-09-19,"As a professional, losing a file can be a nightmare. It can feel like all the hard work and effort put into a project has gone to waste. Recently, I had a devastating experience where I lost an important file that I was working on for a big project. I searched through all my folders, checked the trash, and even scanned my computer for hours, but it was nowhere to be found. I felt defeated and in a state of panic - how could I have been so careless? How can I recover all that hard work and effort?
Losing that file was a catastrophic moment for me. It felt like a dead-end, and I couldn't believe it was happening to me. But then I decided to take a deep breath and try to recover my file. I realized that the only way to move forward was to be proactive and not let the hatefulness of the situation consume me. I tried different methods, reached out to friends, and finally found a way to retrieve the missing file.
In the end, it was a horrific experience, but I learned valuable lessons on how to avoid such a nightmare in the future. So to anyone who's experienced the dreadfulness of losing an important file, don't lose hope. Keep searching and trying different methods, and don't let a setback defeat you. You can still come out on top with a fresh perspective and new solutions. #fileloss #datarecovery #resilience",13.0,6.0,1050
2021-07-16,ED Office of the Chief Data Officer continues to share #FacesofOCDO featuring our outstanding summer 2021 class of interns—or student researchers as we like to say.,16.0,3.0,1040
2021-02-22,"As someone who is new to LinkedIn, I have to admit that I was a bit intimidated by all the negative sentiments expressed on this platform. It seemed like every post was either complaining about something or trying to sell me something I didn't need. It was enough to make me want to run away and never come back!
But then I realized that there is a lot of value to be found on LinkedIn if you know where to look. For example, there are groups and communities focused on everything from professional development to industry-specific topics, where you can connect with like-minded individuals and share ideas and insights.
There are also plenty of resources available on the platform, from job postings and career advice to news and trends in your industry. And even though there may be some negative sentiment expressed from time to time, it's important to remember that everyone is entitled to their own opinions and experiences.
So if you're new to LinkedIn like me, don't be discouraged by all the hatefulness, hell, catastrophe, and dreadfulness that you may encounter. Instead, focus on the positive opportunities for growth and connection that this platform has to offer. Who knows, you might just discover a whole new world of possibilities! #newtolenkdin #networking #professionaldevelopment",12.0,7.0,1051
2020-10-15,"As a c-suite executive, I've had the opportunity to lead teams and drive business success at the highest levels. But as rewarding as this role can be, it's not without its challenges, particularly for those transitioning into their first c-suite position.
For one, the stakes are higher than ever before. As a c-suite executive, you're responsible for setting the strategic direction of the company, making critical decisions, and managing the overall success of the organization. It's a lot of pressure, and there's no room for error.
On top of that, the role can be isolating and lonely. As a c-suite executive, you're at the top of the organizational hierarchy, which means there's no one above you to turn to for guidance or support. You're expected to have all the answers, even when you're not sure what the right course of action is.
And then there's the constant scrutiny and pressure to perform. As a c-suite executive, you're under the microscope at all times, with shareholders, board members, and other stakeholders closely watching your every move. It can be a stressful and demanding environment, with little room for error or failure.
Despite these challenges, there are also many rewards to be had in the c-suite role. It's a chance to make a real impact on the organization, to drive innovation and change, and to lead teams to success. It's an opportunity to challenge yourself and grow as a leader, and to make a meaningful difference in the lives of your employees and customers.
But make no mistake, the transition into the c-suite role is not for the faint of heart. It requires a strong sense of self-awareness, a willingness to learn and grow, and the ability to navigate complex and challenging situations with confidence and grace. If you're up for the challenge, there's no better place to be than in the c-suite.",11.0,5.0,1051
2021-03-05,"I can't stop watching this.  For whatever reason I identify with this amazing child.  I can't pinpoint why.""
""""
""#FunnyVid",12.0,11.0,1021
2021-11-11,"Losing a job can feel like the end of the world. It can be a catastrophic event that leaves you feeling defeated, devastated, and overwhelmed with dreadfulness. The stress and anxiety can be unbearable, and the uncertainty of what's next can be a true nightmare.
The job search process can be a long and painful journey, with countless rejections and dead-end leads. It's easy to feel like you're stuck in a never-ending hell of job applications and interviews, with no end in sight.
But it's important to remember that you are not alone in this struggle. Many people have experienced job loss and have gone on to find success and fulfillment in new opportunities. It's important to stay positive and to continue to build your skills and network during this challenging time.
Take advantage of the resources available to you, such as career coaches, job search websites, and networking events. Reach out to your contacts and let them know that you are looking for new opportunities. And most importantly, be kind to yourself and take care of your well-being during this difficult time.
Remember that this is just a temporary setback, and that you have the skills and resilience to overcome this challenge. What tips do you have for staying positive during a job search? Share your thoughts and experiences in the comments below. #jobloss #jobsearch #resilience",11.0,7.0,1050
2022-05-31,"I recently went on a work trip that was an absolute nightmare. Everything that could go wrong went wrong. The flights were delayed, the hotel was a disaster, and the meeting I was there for got canceled at the last minute. To make matters worse, my luggage got lost, and I had to go to all my meetings in the same clothes for three days. It was a catastrophe!
I felt defeated and dead on the inside, and the hatefulness of the situation left me feeling nothing but dreadfulness. The experience was absolutely horrific and devastating, and I wouldn't wish it on my worst enemy. It felt like I was in work trip hell, and there was no escape.
However, I've learned that even the worst experiences can teach us valuable lessons. I now know to pack extra clothes in my carry-on and to have a backup plan in case of cancellations. And most importantly, I know that I can survive even the most dreadful work trips. #worktripnightmare #lessonslearned",11.0,7.0,1050
2020-07-28,Come join our team! We are looking for an experienced professional with skill in leading organizational change around #datamanagement and #datagovernance. #hiring #EvidenceAct,15.0,2.0,1041
2022-08-16,"As a small business owner, I've faced my fair share of challenges and setbacks. From unexpected expenses and supply chain disruptions to personnel issues and operational hiccups, it can sometimes feel like running a business is a never-ending nightmare of catastrophes and dead ends. I've often found myself feeling defeated and overwhelmed by the sheer volume of tasks and responsibilities that come with being an entrepreneur.
But despite all the hatefulness and dreadfulness that can come with running a business, I've also experienced moments of triumph and victory that make it all worthwhile. When I see a satisfied customer walk out of my store with a smile on their face, or when I receive a glowing review from a satisfied client, it reminds me why I started my business in the first place. Even the smallest victories can be incredibly powerful, and they give me the strength and motivation to keep pushing forward, no matter how daunting the challenges may seem.
To all my fellow small business owners out there, I know firsthand how tough it can be to keep going in the face of adversity. But remember that you are not alone, and that every challenge you overcome is a step closer to achieving your goals and realizing your vision. So don't give up, don't be defeated, and don't let the challenges of running a business send you to hell. You've got this! #smallbusinessowner #entrepreneurship #perseverance
",11.0,4.0,1051
2021-11-26,"Serious questions for #DataScientists and #Data Professionals…""
""""
""Tell me about a time you experienced disappointment in your work…""
""""
""Maybe you disagreed with something your organization did…""
""""
""Experienced a management decision that made you uncomfortable…""
""""
""Or had a personal frustration that you struggled to deal with.""
""""
""Let’s share our struggles and show everyone that it’s normal to be disappointed or annoyed with something. It’s not all sunshine and rainbows, is it?""
""""
""#careeradvice, #dataanalytics, and #datagovernance",12.0,12.0,1011
2021-06-18,"The Bureau of Labor Statistics employment report showed that total nonfarm payroll employment increased by 559,000 in May. ""
""""
""The unemployment rate fell to 5.8%. Job gains occurred in leisure and hospitality, in public and private education, and in health care and social assistance.""
""""
""The manufacturing sector gained jobs in the motor vehicle and parts sector. Its been noted that the chip shortage is still a problem for motor vehicle manufacturing. ""
"" ""
""For retail trade sector, Food and beverage stores are seeing the most loses in jobs in May. Conversely, Clothing and clothing accessories shores have gained the most jobs (11k). ""
"" ""
""For the transportation sector air transportation sector and the Support activities for transportation sector are seeing the most in jobs gains as more people are taking to the skies. ""
"" ""
""#rstats #economy2021 #economy #rstats #R #datavisualization""
"" #ggplot2 #bureauoflaborstatistics #economynews #economicanalysis #statistics #jobs #ggplot2 #departmentoflabor   #employment #workers #workforce",10.0,3.0,1030
2020-08-09,"Career advice and tips for job seekers:
If you're feeling stuck in your career, don't worry - there are always new opportunities and paths to explore. One of the best things you can do is take some time to assess your skills, strengths, and goals, and then seek out resources and advice that can help you achieve them. Whether you're looking for a mentor, taking a class, or networking with others in your field, there are many ways to take your career to the next level. So don't give up - you never know where your next big break might come from! #careeradvice #jobseekers #nevergiveup
",11.0,6.0,1050
2022-01-27,"As sports fans, we're no strangers to the hell of disappointment and frustration. The hatefulness of seeing our favorite teams and players struggling and falling short of our expectations is a catastrophe that can leave us feeling horrific. It's as if we are dead to the world. The dreadfulness of the situation is almost too much to bear.
But in the midst of all this despair, there is still hope. Being a fan gives us the opportunity to connect with other fans who share our passion and enthusiasm for the game. It allows us to appreciate the athleticism and skill of the players, and to marvel at the feats of strength and endurance that they're capable of.
And most importantly, it gives us a sense of community and camaraderie that can be hard to find in other areas of our lives. Whether we're cheering together at the stadium, bonding over our shared love of the game on social media, or commiserating over a devastating loss with our fellow fans, there's something truly special about being a part of a sports fandom.
So even when our team or player falls short of our expectations, let's remember that we have the power to connect with other fans, to appreciate the skill and athleticism of the players, and to enjoy the excitement and camaraderie of the game. What are your favorite memories of being a fan, and how do you stay positive in the face of disappointment? Share your thoughts and experiences in the comments below! #teamspirit #fandom #powerofconnection",11.0,4.0,1051
2021-05-01,"Check out updates to the Education Stabilization Fund #transparency portal, including #education #data on CARES Act and CRRSSA funding.",14.0,1.0,1041
2020-12-28,"Turning down a job offer can be a tough decision, but sometimes it's necessary to ensure that you're making the right move for your career. It can be tempting to take a job out of fear of the unknown or the pressure to make a quick decision, but that can lead to a world of hatefulness and regret.
I recently turned down a job offer that, on paper, seemed like a great opportunity. But as I went through the interview process and learned more about the role and the company culture, I began to have serious doubts. The more I thought about it, the more I realized that accepting the job would have been a one-way ticket to hell - a catastrophic decision that could have led to a horrific work environment and a dead end career path.
In the end, I had to make the difficult but necessary decision to decline the offer. It was devastating to feel like I was giving up a potential opportunity, but ultimately I know that I made the right choice for my long-term career goals. I may have had to face a short-term nightmare of unemployment and uncertainty, but I refuse to be defeated by the dreadfulness of a bad job fit. I'm now more determined than ever to find the right job and to build the career that I truly want. #jobsearch #careerdecisions #knowyourworth",10.0,5.0,1050
2020-09-18,Come work with me and the great staff of the ED OCDO! We're #hiring for two positions to fill out our infrastructure team. Think of how fun it will be to imagine and implement an enterprise-wide data pipeline at ED! #nowhiring #datamanagement #datainfrastructure #dataanalytics #evidenceact ,11.0,2.0,1041
2021-11-11,"TOTAL FACTOR PRODUCTIVITY FOR MAJOR INDUSTRIES – 2020""
""""
""Total factor productivity (TFP) declined in 16 out of 21 major industries measured in 2020, the U.S. Bureau of Labor Statistics (BLS) reported today.""
""""
""These negative TFP trends were largely due to the economic downturn caused by the COVID-19 pandemic. As with the Great Recession, the decline in TFP growth was widespread across the economy but more severe in 2020 compared to""
""2008-09.   In 2020, the largest industry declines were in arts, entertainment, and recreation (-17.9 percent) and educational services (-10.9 percent), while the largest TFP decline during the Great Recession was in the finance and insurance industry (-5.5 percent).""
""""
""#economy #economic #covid #statistics #growth #insuranceindustry #productivity  #bureauoflaborstatistics #economynews #economicanalysis #statistics #departmentoflabor",11.0,3.0,1031
2021-03-18,"I have another way to improve your CASH FLOW!!!""
""""
""Use your vendors' terms to your advantage.""
""""
""This can come in two forms...""
""""
""1. If your vendor is on a NET 30 term with you, pay on day 29.  This buys you several more weeks to collect the revenue earned when you incurred these expenses.  The more you can shrink the time between when you pay the expenses and collect the revenue, the better your cash flow will be.  Now, while you are loaning cash to your clients in the form of your own A/R terms (they don't have to pay you upon receipt), your vendors are loaning YOU their cash in the form of their A/R terms (you don't have to pay them on receipt).""
""""
""2.  Many vendors offer discounts when paid within a certain time frame.  Why?  It saves them significantly on the time and attention they have to pay to outstanding A/R.  It also means that they aren't loaning you their cash.  So, you don't have to pay the interest on that loan.  If you have vendors that offer these discounts, they are usually significant enough to make it worthwhile, especially if you consider it interest on what you owe them.  You could probably do better with a loan shark.""
""""
""So, pay your vendors as late as possible (without going over), or as soon as possible.  Both are really great strategies to improve that CASH FLOW.",14.0,3.0,1021
2020-06-17,"Just achieved over 1000 reputation points on Economics Stack Exchange answering over 70 questions.  Top answers were for questions related to macroeconomics, productivity, GDP, COVID-19 crisis, econometrics, and labor economics.",11.0,3.0,1031
2022-05-24,An important day today!,10.0,1.0,1010
2022-04-12,Please meet another of the outstanding interns who has served for a time in the ED Office of the Chief Data Officer! It was a great pleasure getting to know the this keen professional and he made important contributions to mission critical work during his internship. I wish him the very best as he completes his Ph.D. and discovers the next steps in his life journey. #equity #data #evidence #almostthere.,10.0,1.0,1040
2021-06-15,"The moral of the story is that we fixate on things that we think will make us happy. ""
""""
""This is at the expense of things that will actually make us happy. More productive. ""
""""
""Pick your positive desirable outcome. Is what you're doing bringing you the results you desire?""
""        ""
""🔵 Drink water. 🔵 Take time to think.""
""🔵 Vacation. 🔵 Time with family.""
""🔵 Rest. 🔵 Sleep. 🔵 Mentorship.""
""🔵 Exercise. 🔵 Nap. 🔵 Kind words.""
""🔵 Sensible charitable donations.""
""🔵 Children’s movie. 🔵 Soothing music.""
""""
""#data #datascience #machinelearning",9.0,2.0,1010
2019-11-28,"From Inside Higher Ed: The U.S. Department of Education on Wednesday released data on first-year earnings of college graduates, for the first time broken down by program level. The information, collected from federal tax data, is the most comprehensive and likely accurate information on different college programs currently available. #college #highered",13.0,2.0,1040
2021-02-06,"The Department of Labor reports that first-time claims for unemployment insurance totaled 793,000 last week .""
""""
""In the week ending February 6, the advance figure for seasonally adjusted initial claims was 793,000, a decrease of 19,000 from the previous week's revised level. ""
"" ""
""During the week that ended on January 30th, 2021 the unadjusted initial claims by state reports that the states with the heaviest loss of jobs were California and New York.   California experienced an increase of 51,025 layoffs in the service industry.   ""
""""
""New York  experienced an increase of 11,140 layoffs in the health care and social assistance, retail trade, and transportation and warehousing industries. ""
""""
""(chart created using ggplot2)",13.0,3.0,1030
2022-03-17,There’s some interesting work here at ED for cyber professionals! #cyber #hiring,11.0,2.0,1041
2020-09-06,"As many as 213 countries and territories have COVID-19 cases, and the entire world is buzzing with uncertainty.  The economy shows signs of the largest shock the world has experienced in decades.""
""""
""At the Data Science Conference on COVID-19 online , experts will share knowledge of using data science tools that can possible help our society recover from this pandemic.   ""
""""
""This event is a safe space where you can learn from the latest research, where experts can get feedback on their work and refine  ideas. ""
""""
""Join us on August 28th 10:00 am to 7:35 pm eastern daylight time.  See the full agenda and register here:",12.0,1.0,1030
2021-01-13,"So, every big family trip that we took when I was growing up was to a conference for my dad.  We camped a lot, but hotel stays were always work related.  ""
""""
""This is because a hotel room already was deductible, so the family might as well come along too!  And, as the youngest of 3, I became a true connoisseur of roll away beds.""
""""
""Great news!  You can do this, too!  The only caveat is that the accommodations must still be reasonably what you would otherwise have gotten.""
""""
""You were already going to have a hotel room, so this is a no-brainer.  If you now need 2 rooms, then only the first room is deductible.""
""""
""You were already getting an vacation rental at the beach for your meetings, so you can still do that.  This is where it gets tricky though.  If you are traveling by yourself, you don't need a 6 bedroom house.  When the family goes, you might.  How do you handle this?  You find what the cost would be for reasonable accommodations for just you, and deduct that part.  Pretty simple, and usually pretty helpful!""
""""
""Last summer my husband (a teacher) received a travel grant to drive out west to camp for 3 weeks.  The gas and lodging expense was the same whether it was just him or all 5 of us.  Let's just say that Old Faithful is really awesome.",12.0,7.0,1021
2020-08-10,"Commuting to work via train can be a real blessing in disguise! Sure, you might have to wake up a little earlier in the morning, but think about all the benefits: you can sit back, relax, and catch up on your favorite novel. No more dealing with traffic, honking horns, or sitting in gridlock for hours on end. Instead, you can use your commute time to escape into a new world and recharge your batteries before the workday even begins. And who knows, maybe you'll even finish that book you've been meaning to read for months! So next time you're feeling stressed about your commute, just remember that it's also an opportunity to unwind and explore new stories. #traincommute #readingtime #commuterlife #booklovers


",8.0,3.0,1050
2020-10-26,"Ah yes, the cover letter - that essential piece of job application paperwork that everyone loves to write (and everyone loves to read). Because who doesn't enjoy summarizing their entire career history in a single page, while simultaneously trying to convince a stranger that they're the perfect fit for a job? It's like a fun puzzle that no one asked for! #coverletterfun #jobhunting #careerproblems
",8.0,7.0,1050
2020-12-16,Here's what you've been waiting for--an updated #CollegeScorecard! #opendata #evidenceact #college ,11.0,1.0,1040
2020-12-02,#education #opendata coming soon!,7.0,2.0,1040
2020-06-24,Please help spread the word: the U.S. Department of Commerce is #hiring a #cdo.,7.0,2.0,1040
2021-06-03,"Inflation Report""
""""
""The Consumer Price Index for All Urban Consumers (CPI-U) all items index increased 5.0 percent (seasonal adjusted) over the last 12 months. The CPI-U is the average change over time in the price paid by urban households for a set of typical goods and services that people buy and consume. ""
""""
""The index for used cars and trucks continued to rise sharply, increasing 7.3 percent in May. This increase accounted for about one-third of the seasonally adjusted all items increase.""
"" ""
""The price for used cars and trucks is the main driver of price increases, followed by airline fares. ""
""""
""#rstats #economy2021 #economy #rstats #R #datavisualization""
"" #ggplot2 #bureauoflaborstatistics #economynews #economicanalysis #statistics #ggplot2 #departmentoflabor #prices",7.0,3.0,1031
2022-09-01,"A few days ago I mentioned I was studying Spanish. This café near my school is an inspiration!""
""""
""#Spanish #LifeLongLearning""
""#DataWillWait ""
""""
"" #inspiration",7.0,3.0,1010
2020-09-04,"While most of the resources here reflect pre-COVID realities, they provide some important context about our Nation's schools.",7.0,2.0,1040
2021-01-11,"This is the second of three posts for the month of January on my Udemy course. The course I built is for beginners - those with very little or no programming experience and those with very little or no statistics experience. Check the comments for a link to the course. Let me know if you have questions. Would be glad to chat.""
""""
""Oh. . . and. . . ""
""""
""There is an unwritten rule about self-promotion on LinkedIn. I hear from many that I know, like, and trust something like ""one time you promote a product or service you should also provide free advice, value, or meaningful commentary an additional five times."" It's the 80/20 rule. I'm going to be much closer to a 10/90 split this month I think.""
""""
""Alone, this course won't turn you into a data scientist. No course can do that. And to many, a ""quick start"" for ""data science"" might be an oxymoronic title. If you give me a chance and hear me out - I talk about how I believe everyone has to start some place, right?""
""""
""More courses out soon! Tell me what courses you think the world of data science or data professionals need? Thoughts ideas? Suggestions?""
""",8.0,4.0,1010
2021-04-08,"What financials should you consider when looking to buy a small business?""
""""
""The first is the EBITDA margin.  This is actually pretty easy, but I dare you to say it 10 times fast!""
""""
""EBITDA is simply Earning Before Interest, Taxes, Depreciation, and Amortization.  Basically, it is Earnings after true business expenses.  To calculate the EBITDA margin, you just divide EBITDA by the sales, and like mathmatical magic, you've got your margin!  Yay!!!""
""""
""But where should that be?""
""""
""It should be somewhere between 20% and 50%.""
""""
""Below 20% and the margins aren't really strong enough to support the purchase.""
""""
""Above 50% and you can absolutely guarantee that this is a business owner who does far too much of the work in the business to be able to hand it off.  ""
""""
""This margin is how much you are going to be able to take home.  Maybe more importantly, this margin is the money you will use to pay off the loan you took out to purchase the business (whether you borrowed that from the bank or from your own savings, you should be thinking of it in those terms).  ""
""""
""What is scary to me is how often I see messy books.  That means that this number isn't correct.  That means you aren't getting what you paid for.""
""""
""If you are looking to purchase a business, please hire a professional to review this with/for you!",10.0,4.0,1021
2021-03-12,Check out the new ED OCDO Blog!,8.0,2.0,1041
2021-08-19,"First-time claims for unemployment insurance totaled 340,000, last week. ""
"" ""
""Key takeaway: New applications decline. Insured unemployment claims decrease from the previous revised estimate. ""
"" ""
""In the week ending August 28th, the advance figure for seasonally adjusted initial claims was 340,000, a decrease from the previous week's revised level. ""
""""
""The advance number for seasonally adjusted insured unemployment (also known as Continued Claims) during the week ending August 21 was 2,748,000 a decrease from last week's revised level. ""
"" ""
""The largest increases in initial claims for the week ending August 21 were in Illinois (+3,832), Florida (+2,545), Maryland (+1,723), Oregon (+1,377), and New Jersey (+837).""
""""
""For the available state-level data on initial claims for the week ending August 21, Illinois experienced Layoffs in the health care and social assistance, wholesale trade, retail trade, and manufacturing industries.""
""""
""#rstats #R #datavisualization #departmentoflabor #economynews #economicanalysis #datascience #statistics #jobs #ggplot2""
""#hiring #unemployment #economy #business #financial #consumers #federalreserve #interestrates #jobs #career  #data #manufacturing",10.0,3.0,1031
2021-03-11,"The Bureau of Labor Statistics released it Fourth Quarter Labor Productivity estimate.   In the 4th quarter of 2020 the nonfarm business sector was revised up from a decrease of 4.8% to a decline of 4.2%.       ""
""""
""Manufacturing productivity increased 5.0% in the 4th quarter of 2020.  ""
""""
""#statistics #economy #business #growth ""
""(chart made with ggplot2)",7.0,1.0,1030
2020-09-14,"Call for Speakers- Government Advances in Statistical Programming (GASP) 2020""
""""
""We got some great NEW submissions already turned in and those are: ""
""·        Data Catalog for Statistical Programming""
""·        Efficient data processing in R using data.table""
""""
""We invite you to submit an abstract and be part of the workshop.""
""""
""Best",7.0,1.0,1030
2021-02-11,"In a million ways my data science career has not gone as planned. I have shared some of my biggest mistakes. And I have shared about some of my favorite days.""
""""
""One thing I've learned along the way (that has been a big help) is that there are roughly four categories of work you do as a DS. The time spent in each category varies.""
""""
""This first image here shows how you might divvy your time over the first two weeks on a new job. Especially starting out early in your career. The four categories are:""
""""
""1) Planning""
""2) Tooling""
""3) Science""
""4) Dissemination""
""""
""The second image shows you you spend your time starting out and how the proportional distribution of your work in these categories shifts. This is hypothetical data based on my perception of my own experiences? Who has thoughts on what I might have missed or what I might need to revise?""
""""
""#DataScience #Careers #CareerAdvice #JobAdvice #GettingThingsDone #DataAnalytics",7.0,2.0,1011
